_id,title,brand,price,membership fee
6593504959327f64a58a36e7,하트 벌룬 스웻 셔츠-레드,BITTERCELLS,"56,000원","41,171 ~ 44,800원"
6593505259327f64a58a36f2,스탠다드 스웨츠 셔츠,REBRENNER,"44,000원","17,166 ~ 17,900원"
6593505b59327f64a58a36fd,SMALL CENTER 맨투맨 (STMSTD-0015),1989STANDARD,"59,900원","34,274 ~ 39,900원"
6593506259327f64a58a3708,VNBC 버스터즈 특양면 맨투맨,VENHIT,"45,000원","32,073 ~ 34,900원"
